priref,lref,soort,url,personen
265,10727295,photograph,https://media.rkd.nl/iiif/10727295/full/max/0/default.jpg,"[{'nummer': '121890', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
1480,11,slide (photo),https://media.rkd.nl/iiif/11/full/max/0/default.jpg,[]
6456,10771051,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771051/full/max/0/default.jpg,"[{'nummer': '107459', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
6457,10771048,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771048/full/max/0/default.jpg,[]
6883,10816594,digital image,https://media.rkd.nl/iiif/10816594/full/max/0/default.jpg,[]
6883,10816595,digital image,https://media.rkd.nl/iiif/10816595/full/max/0/default.jpg,[]
8116,9295256,BD/Rubenianum,https://media.rkd.nl/iiif/9295256/full/max/0/default.jpg,"[{'nummer': '9815', 'zekerheid': None, 'beschrijving': 'de luitspelende man geheel links', 'status': 'huidig'}]"
8116,9295255,BD/Rubenianum,https://media.rkd.nl/iiif/9295255/full/max/0/default.jpg,"[{'nummer': '9815', 'zekerheid': None, 'beschrijving': 'de luitspelende man geheel links', 'status': 'huidig'}]"
8117,9295253,BD/Rubenianum,https://media.rkd.nl/iiif/9295253/full/max/0/default.jpg,"[{'nummer': '9815', 'zekerheid': None, 'beschrijving': 'de man geheel links, met de luit', 'status': 'huidig'}, {'nummer': '205001', 'zekerheid': None, 'beschrijving': 'de vrouw rechts op de voorgrond', 'status': 'huidig'}, {'nummer': '135643', 'zekerheid': None, 'beschrijving': 'de oude man geheel links in de achtergrond', 'status': 'huidig'}]"
8117,9295254,BD/Rubenianum,https://media.rkd.nl/iiif/9295254/full/max/0/default.jpg,"[{'nummer': '9815', 'zekerheid': None, 'beschrijving': 'de man geheel links, met de luit', 'status': 'huidig'}, {'nummer': '205001', 'zekerheid': None, 'beschrijving': 'de vrouw rechts op de voorgrond', 'status': 'huidig'}, {'nummer': '135643', 'zekerheid': None, 'beschrijving': 'de oude man geheel links in de achtergrond', 'status': 'huidig'}]"
8142,9295257,BD/Rubenianum,https://media.rkd.nl/iiif/9295257/full/max/0/default.jpg,"[{'nummer': '9815', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '205001', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '105839', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
10258,11190805,digital image,https://media.rkd.nl/iiif/11190805/full/max/0/default.jpg,[]
12789,10389455,unknown,https://media.rkd.nl/iiif/10389455/full/max/0/default.jpg,"[{'nummer': '100139', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
13356,11191006,digital image,https://media.rkd.nl/iiif/11191006/full/max/0/default.jpg,[]
13656,10724173,photograph,https://media.rkd.nl/iiif/10724173/full/max/0/default.jpg,"[{'nummer': '121947', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
14068,10656895,digital color photograph,https://media.rkd.nl/iiif/10656895/full/max/0/default.jpg,[]
14442,9215371,black and white photograph,https://media.rkd.nl/iiif/9215371/full/max/0/default.jpg,[]
14745,10687843,digital image,https://media.rkd.nl/iiif/10687843/full/max/0/default.jpg,"[{'nummer': '133134', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
14784,9335739,black and white photograph,https://media.rkd.nl/iiif/9335739/full/max/0/default.jpg,"[{'nummer': '204854', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
15397,9305360,black and white photograph,https://media.rkd.nl/iiif/9305360/full/max/0/default.jpg,"[{'nummer': '135429', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
16352,10937520,BD/Digital Collection,https://media.rkd.nl/iiif/10937520/full/max/0/default.jpg,[]
16358,10703629,digital image,https://media.rkd.nl/iiif/10703629/full/max/0/default.jpg,"[{'nummer': '8196', 'zekerheid': 'mogelijk', 'beschrijving': None, 'status': 'huidig'}]"
16673,10727161,photograph,https://media.rkd.nl/iiif/10727161/full/max/0/default.jpg,[]
17041,10724170,photograph,https://media.rkd.nl/iiif/10724170/full/max/0/default.jpg,"[{'nummer': '121888', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
18289,11118794,black and white photograph,https://media.rkd.nl/iiif/11118794/full/max/0/default.jpg,[]
24367,10726994,photograph,https://media.rkd.nl/iiif/10726994/full/max/0/default.jpg,"[{'nummer': '121960', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
28386,11118753,digital color photograph,https://media.rkd.nl/iiif/11118753/full/max/0/default.jpg,[]
28886,11098080,BD/Digital Collection,https://media.rkd.nl/iiif/11098080/full/max/0/default.jpg,[]
29516,9570324,color reproduction,https://media.rkd.nl/iiif/9570324/full/max/0/default.jpg,"[{'nummer': '113516', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
34502,9635909,black and white photograph,https://media.rkd.nl/iiif/9635909/full/max/0/default.jpg,"[{'nummer': '134480', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
34502,9200647,black and white photograph,https://media.rkd.nl/iiif/9200647/full/max/0/default.jpg,"[{'nummer': '134480', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
34964,10771175,black and white photograph,https://media.rkd.nl/iiif/10771175/full/max/0/default.jpg,"[{'nummer': '122284', 'zekerheid': 'waarschijnlijk', 'beschrijving': None, 'status': 'huidig'}]"
38488,10720578,photograph,https://media.rkd.nl/iiif/10720578/full/max/0/default.jpg,"[{'nummer': '111857', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
40412,10727167,photograph,https://media.rkd.nl/iiif/10727167/full/max/0/default.jpg,"[{'nummer': '102042', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
40448,10771085,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771085/full/max/0/default.jpg,"[{'nummer': '203332', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
40918,10722522,photograph,https://media.rkd.nl/iiif/10722522/full/max/0/default.jpg,"[{'nummer': '121912', 'zekerheid': 'waarschijnlijk', 'beschrijving': None, 'status': 'huidig'}]"
41216,10816485,BD/Digital Collection,https://media.rkd.nl/iiif/10816485/full/max/0/default.jpg,[]
41561,10730121,photograph,https://media.rkd.nl/iiif/10730121/full/max/0/default.jpg,"[{'nummer': '121909', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
42789,10725748,photograph,https://media.rkd.nl/iiif/10725748/full/max/0/default.jpg,"[{'nummer': '121949', 'zekerheid': 'mogelijk', 'beschrijving': None, 'status': 'huidig'}]"
43160,10205234,black and white photograph,https://media.rkd.nl/iiif/10205234/full/max/0/default.jpg,"[{'nummer': '116988', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
54301,10389389,unknown,https://media.rkd.nl/iiif/10389389/full/max/0/default.jpg,"[{'nummer': '113131', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
55817,11114730,digital image,https://media.rkd.nl/iiif/11114730/full/max/0/default.jpg,[]
55817,11114731,digital image,https://media.rkd.nl/iiif/11114731/full/max/0/default.jpg,[]
60082,10771001,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771001/full/max/0/default.jpg,[]
60184,10771002,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771002/full/max/0/default.jpg,[]
60187,10771003,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771003/full/max/0/default.jpg,[]
60188,10771004,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771004/full/max/0/default.jpg,[]
60189,10771005,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771005/full/max/0/default.jpg,[]
60191,10771006,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771006/full/max/0/default.jpg,[]
60196,10771009,reproduction (derivative object),https://media.rkd.nl/iiif/10771009/full/max/0/default.jpg,[]
60198,10771010,reproduction (derivative object),https://media.rkd.nl/iiif/10771010/full/max/0/default.jpg,[]
60374,10771026,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771026/full/max/0/default.jpg,"[{'nummer': '206515', 'zekerheid': 'mogelijk', 'beschrijving': None, 'status': 'huidig'}]"
60376,10771027,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771027/full/max/0/default.jpg,[]
60378,10771028,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771028/full/max/0/default.jpg,[]
60383,10771032,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771032/full/max/0/default.jpg,[]
60386,10771035,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771035/full/max/0/default.jpg,"[{'nummer': '107423', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
60398,10771047,Documentation Collectie Nederland,https://media.rkd.nl/iiif/10771047/full/max/0/default.jpg,"[{'nummer': '114130', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
