priref,lref,soort,url,personen
2741,12,digital file,https://media.rkd.nl/iiif/12/full/max/0/default.jpg,[]
2741,10,BD/Digital Collection,https://media.rkd.nl/iiif/10/full/max/0/default.jpg,[]
3048,10400060,digital file,https://media.rkd.nl/iiif/10400060/full/max/0/default.jpg,"[{'nummer': '115756', 'zekerheid': None, 'beschrijving': 'first at the right, with hat', 'status': 'huidig'}, {'nummer': '138771', 'zekerheid': None, 'beschrijving': 'center, second row behind corpse', 'status': 'huidig'}, {'nummer': '138772', 'zekerheid': None, 'beschrijving': 'second at the right, paper in hand', 'status': 'huidig'}, {'nummer': '138773', 'zekerheid': None, 'beschrijving': 'second at the left', 'status': 'huidig'}, {'nummer': '138774', 'zekerheid': None, 'beschrijving': 'center, bended over the corpse', 'status': 'huidig'}, {'nummer': '138775', 'zekerheid': None, 'beschrijving': 'third from the right, seated behind the corpse and next to dr. Tulp', 'status': 'huidig'}, {'nummer': '138776', 'zekerheid': None, 'beschrijving': 'first from the left', 'status': 'huidig'}, {'nummer': '138777', 'zekerheid': None, 'beschrijving': 'at the back, in the center', 'status': 'huidig'}, {'nummer': '206770', 'zekerheid': 'waarschijnlijk', 'beschrijving': None, 'status': 'huidig'}]"
5052,32,digital image,https://media.rkd.nl/iiif/32/full/max/0/default.jpg,"[{'nummer': '205665', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
5053,33,digital image,https://media.rkd.nl/iiif/33/full/max/0/default.jpg,"[{'nummer': '205666', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
5060,34,digital image,https://media.rkd.nl/iiif/34/full/max/0/default.jpg,"[{'nummer': '144891', 'zekerheid': None, 'beschrijving': 'Geheel linksRegentes Walenweeshuis Amsterdam 1762-1764 en 1768-1772. Begraven in de Oude Kerk te Amsterdam.', 'status': 'huidig'}, {'nummer': '144892', 'zekerheid': None, 'beschrijving': 'Tweede van linksRegentes Walenweeshuis Amsterdam 1765-1772. Overlijdt kinderloos.', 'status': 'huidig'}, {'nummer': '144893', 'zekerheid': None, 'beschrijving': 'Tweede van rechtsRegentes Walenweeshuis Amsterdam 1755-1757, 1770-1772.', 'status': 'huidig'}, {'nummer': '144889', 'zekerheid': None, 'beschrijving': 'Geheel rechtsRegentes Walenweeshuis te Amsterdam. Zij was de pleegmoeder van Joanna Maria Nahuys.', 'status': 'huidig'}]"
5062,35,digital image,https://media.rkd.nl/iiif/35/full/max/0/default.jpg,"[{'nummer': '132643', 'zekerheid': None, 'beschrijving': ""1e van linksRegent Walenweeshuis 1757-'58, 1766, 1767, 1770-1772, woonde in de Doelenstraat."", 'status': 'huidig'}, {'nummer': '132646', 'zekerheid': None, 'beschrijving': '2e van linksRegent Walenweeshuis te Amsterdam 1771-1772, woonachtig aan de Pijpemarkt.', 'status': 'huidig'}, {'nummer': '132645', 'zekerheid': None, 'beschrijving': '2e van rechtsWijnkoopman uit Bergerac; regent Walenweeshuis te Amsterdam 1770-1771.', 'status': 'huidig'}, {'nummer': '132644', 'zekerheid': None, 'beschrijving': '1e van rechtsWijnhandelaar en -importeur te Amsterdam; regent Walenweeshuis 1769-1772.', 'status': 'huidig'}]"
5180,36,digital image,https://media.rkd.nl/iiif/36/full/max/0/default.jpg,[]
5182,37,digital image,https://media.rkd.nl/iiif/37/full/max/0/default.jpg,[]
7766,38,digital image,https://media.rkd.nl/iiif/38/full/max/0/default.jpg,"[{'nummer': '121855', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '207374', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '207375', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '207377', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
10393,39,digital image,https://media.rkd.nl/iiif/39/full/max/0/default.jpg,"[{'nummer': '103139', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '117775', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '117773', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '117774', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
10629,40,digital image,https://media.rkd.nl/iiif/40/full/max/0/default.jpg,"[{'nummer': '134364', 'zekerheid': None, 'beschrijving': 'at the far left', 'status': 'huidig'}, {'nummer': '134365', 'zekerheid': None, 'beschrijving': 'second man from the left', 'status': 'huidig'}, {'nummer': '134338', 'zekerheid': None, 'beschrijving': 'second man from the right', 'status': 'huidig'}, {'nummer': '134366', 'zekerheid': None, 'beschrijving': 'at the far right', 'status': 'huidig'}]"
11868,41,digital image,https://media.rkd.nl/iiif/41/full/max/0/default.jpg,"[{'nummer': '133753', 'zekerheid': None, 'beschrijving': 'Mogelijk 2de van rechts', 'status': 'huidig'}, {'nummer': '118567', 'zekerheid': 'waarschijnlijk', 'beschrijving': 'Mogelijk geheel rechts', 'status': 'huidig'}, {'nummer': '133754', 'zekerheid': 'mogelijk', 'beschrijving': 'Mogelijk 2de van rechts', 'status': 'huidig'}, {'nummer': '133755', 'zekerheid': 'mogelijk', 'beschrijving': 'Mogelijk geheel links', 'status': 'huidig'}, {'nummer': '133756', 'zekerheid': 'mogelijk', 'beschrijving': 'Mogelijk geheel links', 'status': 'huidig'}]"
12353,42,digital image,https://media.rkd.nl/iiif/42/full/max/0/default.jpg,[]
12354,43,digital image,https://media.rkd.nl/iiif/43/full/max/0/default.jpg,"[{'nummer': '120832', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120833', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120834', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120835', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
12425,44,digital image,https://media.rkd.nl/iiif/44/full/max/0/default.jpg,"[{'nummer': '100193', 'zekerheid': None, 'beschrijving': 'zeepzieder, assur., Middelburglid raad te Mannheim, regent Walenweeshuis Amsterdam, v.a. 1668', 'status': 'huidig'}, {'nummer': '100194', 'zekerheid': None, 'beschrijving': 'Lijnslager, handelaar, reder en ijzerkoper te AmsterdamRegent van het Walenweeshuis', 'status': 'huidig'}, {'nummer': '100195', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '100196', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
15104,10712456,digital image,https://media.rkd.nl/iiif/10712456/full/max/0/default.jpg,"[{'nummer': '120853', 'zekerheid': None, 'beschrijving': 'in the foreground, in the middle', 'status': 'huidig'}, {'nummer': '120855', 'zekerheid': None, 'beschrijving': 'at the right of Claes Jager', 'status': 'huidig'}, {'nummer': '120857', 'zekerheid': None, 'beschrijving': 'standard bearer, second from left', 'status': 'huidig'}, {'nummer': '12635', 'zekerheid': None, 'beschrijving': 'at the left', 'status': 'huidig'}, {'nummer': '120861', 'zekerheid': None, 'beschrijving': 'probably the person in the foreground at the right', 'status': 'huidig'}, {'nummer': '120854', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120856', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120858', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120860', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120862', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
