priref,lref,path,width,height,megapixels,soort,is_color,sitter_count,sitter_ids,date,objectcat,artist_name
35,9197980,D:\thesis\images\9197980.jpg,2953,3595,10.616,unknown,False,1,133958,1660,painting,"Mijtens, Jan"
73,9216481,D:\thesis\images\9216481.jpg,500,438,0.219,black and white photograph,False,1,103511,1623,painting,"Mierevelt, Michiel van"
86,9216487,D:\thesis\images\9216487.jpg,500,438,0.219,black and white photograph,False,1,120270,1637,painting,Anoniem
115,10710800,D:\thesis\images\10710800.jpg,1010,1268,1.281,digital image,True,1,201526,1661,painting,"Hanneman, Adriaen"
116,10710801,D:\thesis\images\10710801.jpg,1024,1287,1.318,digital image,True,1,201527,1661,painting,"Hanneman, Adriaen"
265,9282161,D:\thesis\images\9282161.jpg,500,438,0.219,black and white photograph,False,1,121890,1619,painting,"Mesdach, Salomon"
267,9238123,D:\thesis\images\9238123.jpg,500,438,0.219,black and white photograph,False,1,203857,1617,painting,"Maes, Evert van der"
305,11184323,D:\thesis\images\11184323.jpg,3694,4989,18.429,digital image,True,1,141824,1645,painting,"Fabritius, Carel"
691,10722581,D:\thesis\images\10722581.jpg,4404,6665,29.353,photograph,False,1,103571,1632,painting,"Ravesteyn, Jan van"
697,10719715,D:\thesis\images\10719715.jpg,4642,6262,29.068,digital image,True,1,203193,1639,painting,"Hals, Frans (I)"
1255,9335128,D:\thesis\images\9335128.jpg,2034,2460,5.004,black-and-white photocopy,False,1,118939,1556,painting,"Pietersz, Pieter (I)"
1261,10658496,D:\thesis\images\10658496.jpg,378,500,0.189,digital image,True,1,115443,1627,painting,"Honthorst, Gerard van"
1303,9636575,D:\thesis\images\9636575.jpg,500,438,0.219,black and white photograph,False,1,116876,1617,painting,"Valckert, Werner van den"
1419,9282462,D:\thesis\images\9282462.jpg,500,438,0.219,black and white photograph,False,1,8419,1645,painting,"Dou, Gerard"
1757,9261630,D:\thesis\images\9261630.jpg,500,438,0.219,black and white photograph,False,1,142334,1612,painting,"Vollenhoven, Herman van"
1798,9261609,D:\thesis\images\9261609.jpg,500,438,0.219,black and white photograph,False,1,202765,1628,painting,"Bor, Paulus"
1805,9302095,D:\thesis\images\9302095.jpg,379,500,0.19,digital image,True,1,121749,1652,painting,"Bol, Ferdinand"
1843,9261956,D:\thesis\images\9261956.jpg,500,438,0.219,color reproduction,True,1,102006,1646,painting,"Bol, Ferdinand"
1845,11119158,D:\thesis\images\11119158.jpg,4837,5948,28.77,BD/Digital Collection,False,1,102006,1665,painting,"Bol, Ferdinand"
1850,10684121,D:\thesis\images\10684121.jpg,413,500,0.206,digital image,True,1,206827,1664,painting,"Bol, Ferdinand"
1852,10727211,D:\thesis\images\10727211.jpg,417,500,0.208,black and white photograph,False,1,116754,1667,painting,"Bol, Ferdinand"
1853,10671425,D:\thesis\images\10671425.jpg,4756,5652,26.881,digital image,True,1,103572,1667,painting,"Bol, Ferdinand"
1854,9217055,D:\thesis\images\9217055.jpg,500,438,0.219,color reproduction,True,1,103572,1667,painting,"Bol, Ferdinand"
1855,10633597,D:\thesis\images\10633597.jpg,422,500,0.211,BD/Digital Collection,False,1,146445,1669,painting,"Bol, Ferdinand"
1857,10730049,D:\thesis\images\10730049.jpg,414,500,0.207,photograph,False,1,138767,1665,painting,"Bol, Ferdinand"
1859,9202872,D:\thesis\images\9202872.jpg,420,500,0.21,black and white photograph,False,1,103572,1667,painting,"Bol, Ferdinand"
1864,10634833,D:\thesis\images\10634833.jpg,402,500,0.201,BD/Digital Collection,False,1,206828,1650,painting,"Bol, Ferdinand"
1865,9302991,D:\thesis\images\9302991.jpg,396,500,0.198,digital image,True,1,206830,1650,painting,"Bol, Ferdinand"
1877,10722795,D:\thesis\images\10722795.jpg,1023,1298,1.328,BD/RKD/1820 - IB/XVIIC,False,1,141768,1631,painting,"Bol, Ferdinand"
1882,9747796,D:\thesis\images\9747796.jpg,500,438,0.219,black and white photograph,False,1,119233,1640,painting,"Bol, Ferdinand"
1903,9103049,D:\thesis\images\9103049.jpg,500,423,0.211,black and white photograph,False,1,110357,1650,painting,"Bol, Ferdinand"
1911,9103001,D:\thesis\images\9103001.jpg,398,500,0.199,black and white photograph,False,1,207370,1641,painting,"Backer, Jacob Adriaensz."
1954,9103030,D:\thesis\images\9103030.jpg,388,500,0.194,old black-and-white photograph,False,1,103572,1667,painting,"Bol, Ferdinand"
1994,9275386,D:\thesis\images\9275386.jpg,407,500,0.203,black and white photograph,False,1,115193,1638,painting,"Backer, Jacob Adriaensz."
1997,9172600,D:\thesis\images\9172600.jpg,500,438,0.219,black and white photograph,False,1,206023,1627,painting,"Pickenoy, Nicolaes Eliasz."
2001,9770456,D:\thesis\images\9770456.jpg,500,438,0.219,black and white photograph,False,1,17727,1643,painting,"Backer, Jacob Adriaensz."
2002,9206610,D:\thesis\images\9206610.jpg,397,500,0.199,digital image,True,1,200287,1643,painting,"Backer, Jacob Adriaensz."
2454,9882202,D:\thesis\images\9882202.jpg,500,438,0.219,black and white photograph,False,1,134142,1611,painting,"Swinderen, Johannes van"
2737,10737340,D:\thesis\images\10737340.jpg,382,500,0.191,color reproduction,True,1,111021,1653,painting,"Eeckhout, Gerbrand van den"
2740,9103835,D:\thesis\images\9103835.jpg,500,460,0.23,black and white photograph,False,1,103502,1625,painting,"Backer, Jacob Adriaensz."
2793,9104045,D:\thesis\images\9104045.jpg,341,500,0.171,black and white photograph,False,1,206896,1648,painting,"Flinck, Govert"
2794,9438405,D:\thesis\images\9438405.jpg,500,438,0.219,black and white photograph,False,1,100208,1654,decorative wall component,"Flinck, Govert"
2803,9748801,D:\thesis\images\9748801.jpg,500,438,0.219,black and white photograph,False,1,203117,1636,painting,"Flinck, Govert"
2804,9216830,D:\thesis\images\9216830.jpg,500,438,0.219,black and white photograph,False,1,105630,1654,painting,"Flinck, Govert"
2807,10723778,D:\thesis\images\10723778.jpg,454,500,0.227,black and white photograph,False,1,111244,1663,painting,"Lievens, Jan"
2819,10686745,D:\thesis\images\10686745.jpg,1187,1600,1.899,digital image,True,1,113947,1635,painting,"Flinck, Govert"
2890,9113093,D:\thesis\images\9113093.jpg,435,500,0.217,black and white photograph,False,1,17699,1660,painting,"Fabritius, Barent"
2935,10418156,D:\thesis\images\10418156.jpg,6285,7861,49.406,digital file,True,1,114289,1631,painting,Rembrandt
2943,9570348,D:\thesis\images\9570348.jpg,500,438,0.219,color reproduction,True,1,113516,1628,painting,Rembrandt
2944,10418086,D:\thesis\images\10418086.jpg,5211,6804,35.456,digital file,True,1,113516,1628,painting,Rembrandt
2947,10418142,D:\thesis\images\10418142.jpg,10132,12013,121.716,digital file,True,1,113516,1661,painting,Rembrandt
2949,10399644,D:\thesis\images\10399644.jpg,7530,8268,62.258,digital file,True,1,113516,1669,painting,Rembrandt
2953,10418104,D:\thesis\images\10418104.jpg,4027,4977,20.042,digital file,True,1,135066,1655,painting,Rembrandt
2957,10418134,D:\thesis\images\10418134.jpg,4509,5614,25.314,digital file,True,1,200438,1646,oil sketch,Rembrandt
2961,10418106,D:\thesis\images\10418106.jpg,2898,3453,10.007,digital file,True,1,120812,1639,painting,Rembrandt
3042,10418135,D:\thesis\images\10418135.jpg,4440,5825,25.863,digital file,True,1,133293,1638,painting,Rembrandt
3043,10418137,D:\thesis\images\10418137.jpg,3403,4445,15.126,digital file,True,1,110967,1634,painting,Rembrandt
3044,10418141,D:\thesis\images\10418141.jpg,4825,6108,29.471,digital file,True,1,115193,1633,painting,Rembrandt
3067,10418136,D:\thesis\images\10418136.jpg,3511,4575,16.063,digital file,True,1,113947,1633,painting,Rembrandt
3092,10732166,D:\thesis\images\10732166.jpg,2111,2462,5.197,BD/RKD/1818 - IB/XVIIB,False,1,120083,1639,painting,"Flinck, Govert"
3093,10732167,D:\thesis\images\10732167.jpg,1680,2045,3.436,black and white photograph,False,1,120084,1639,painting,"Flinck, Govert"
3095,9103843,D:\thesis\images\9103843.jpg,500,438,0.219,black and white photograph,False,1,141827,1649,painting,"Fabritius, Carel"
3271,9135760,D:\thesis\images\9135760.jpg,2847,3520,10.021,printouts,False,1,109603,1743,painting,"Mij, Hieronymus van der"
3351,9217011,D:\thesis\images\9217011.jpg,500,438,0.219,color reproduction,True,1,206270,1750,painting,"Verheyden, Mattheus"
3370,10724584,D:\thesis\images\10724584.jpg,5014,6610,33.143,black and white photograph,False,1,116186,1630,painting,"Pot, Hendrick"
3371,10724585,D:\thesis\images\10724585.jpg,5120,6659,34.094,black and white photograph,False,1,116187,1630,painting,"Pot, Hendrick"
3460,9217042,D:\thesis\images\9217042.jpg,500,438,0.219,black and white photograph,False,1,206900,1685,painting,"Gelder, Arent de"
3461,9217040,D:\thesis\images\9217040.jpg,500,438,0.219,black and white photograph,False,1,108779,1700,painting,Anoniem
3637,9261927,D:\thesis\images\9261927.jpg,500,438,0.219,color reproduction,True,1,117799,1702,painting,"Gelder, Arent de"
3638,9261928,D:\thesis\images\9261928.jpg,500,438,0.219,color reproduction,True,1,117796,1702,painting,"Gelder, Arent de"
3709,9261986,D:\thesis\images\9261986.jpg,500,438,0.219,color reproduction,True,1,7686,1698,painting,"Gelder, Arent de"
3713,10713441,D:\thesis\images\10713441.jpg,1322,1667,2.204,BD/Digital Collection,False,1,134695,1698,painting,"Gelder, Arent de"
3715,10666166,D:\thesis\images\10666166.jpg,1200,1015,1.218,digital image,True,1,7686,1685,painting,"Gelder, Arent de"
3978,9216647,D:\thesis\images\9216647.jpg,2598,4172,10.839,color reproduction,True,1,118114,1618,painting,"Voort, Cornelis van der"
3980,10742358,D:\thesis\images\10742358.jpg,5275,7935,41.857,black and white photograph,False,1,123317,1618,painting,"Voort, Cornelis van der"
4047,10902256,D:\thesis\images\10902256.jpg,3937,5081,20.004,digital image,True,1,112571,1644,painting,"Hoogstraten, Samuel van"
4050,10713342,D:\thesis\images\10713342.jpg,3840,3012,11.566,digital image,True,1,203607,1644,painting,"Hoogstraten, Samuel van"
4057,9261968,D:\thesis\images\9261968.jpg,500,438,0.219,color reproduction,True,1,134387,1665,painting,"Leveck, Jacobus"
4082,9217892,D:\thesis\images\9217892.jpg,500,438,0.219,black and white photograph,False,1,205618,1650,painting,"Vaillant, Wallerant"
4084,9217893,D:\thesis\images\9217893.jpg,500,438,0.219,black and white photograph,False,1,116124,1653,painting,"Lievens, Jan"
4085,9217894,D:\thesis\images\9217894.jpg,500,438,0.219,black and white photograph,False,1,116127,1653,painting,"Lievens, Jan"
4086,9217895,D:\thesis\images\9217895.jpg,500,438,0.219,black and white photograph,False,1,124212,1650,painting,"Vaillant, Wallerant"
4088,9217896,D:\thesis\images\9217896.jpg,500,438,0.219,black and white photograph,False,1,118680,1645,painting,"Lievens, Jan"
4122,9217780,D:\thesis\images\9217780.jpg,500,438,0.219,black and white photograph,False,1,206916,1674,painting,"Koninck, Philips"
