priref,lref,soort,url
2741,12,digital file,https://media.rkd.nl/iiif/12/full/max/0/default.jpg
2741,10,BD/Digital Collection,https://media.rkd.nl/iiif/10/full/max/0/default.jpg
3048,10400060,digital file,https://media.rkd.nl/iiif/10400060/full/max/0/default.jpg
5052,32,digital image,https://media.rkd.nl/iiif/32/full/max/0/default.jpg
5053,33,digital image,https://media.rkd.nl/iiif/33/full/max/0/default.jpg
5060,34,digital image,https://media.rkd.nl/iiif/34/full/max/0/default.jpg
5062,35,digital image,https://media.rkd.nl/iiif/35/full/max/0/default.jpg
5180,36,digital image,https://media.rkd.nl/iiif/36/full/max/0/default.jpg
5182,37,digital image,https://media.rkd.nl/iiif/37/full/max/0/default.jpg
7766,38,digital image,https://media.rkd.nl/iiif/38/full/max/0/default.jpg
10393,39,digital image,https://media.rkd.nl/iiif/39/full/max/0/default.jpg
10629,40,digital image,https://media.rkd.nl/iiif/40/full/max/0/default.jpg
11868,41,digital image,https://media.rkd.nl/iiif/41/full/max/0/default.jpg
12353,42,digital image,https://media.rkd.nl/iiif/42/full/max/0/default.jpg
12354,43,digital image,https://media.rkd.nl/iiif/43/full/max/0/default.jpg
12425,44,digital image,https://media.rkd.nl/iiif/44/full/max/0/default.jpg
15104,10712456,digital image,https://media.rkd.nl/iiif/10712456/full/max/0/default.jpg
15109,10712457,digital image,https://media.rkd.nl/iiif/10712457/full/max/0/default.jpg
15410,45,digital image,https://media.rkd.nl/iiif/45/full/max/0/default.jpg
16285,46,digital image,https://media.rkd.nl/iiif/46/full/max/0/default.jpg
22201,10418150,digital file,https://media.rkd.nl/iiif/10418150/full/max/0/default.jpg
29690,10405881,digital file,https://media.rkd.nl/iiif/10405881/full/max/0/default.jpg
29822,10405798,digital color photograph,https://media.rkd.nl/iiif/10405798/full/max/0/default.jpg
34844,10405310,digital file,https://media.rkd.nl/iiif/10405310/full/max/0/default.jpg
65849,10704856,digital image,https://media.rkd.nl/iiif/10704856/full/max/0/default.jpg
65913,10564369,digital image,https://media.rkd.nl/iiif/10564369/full/max/0/default.jpg
65913,10564371,digital image,https://media.rkd.nl/iiif/10564371/full/max/0/default.jpg
65913,10564373,digital image,https://media.rkd.nl/iiif/10564373/full/max/0/default.jpg
100194,9146162,ektachrome,https://media.rkd.nl/iiif/9146162/full/max/0/default.jpg
111034,9147847,old black-and-white photograph,https://media.rkd.nl/iiif/9147847/full/max/0/default.jpg
111035,9147846,back-side (of image),https://media.rkd.nl/iiif/9147846/full/max/0/default.jpg
115515,9289558,BD/RKD/1842 - IB/Nassau,https://media.rkd.nl/iiif/9289558/full/max/0/default.jpg
125524,9289561,slide (photo),https://media.rkd.nl/iiif/9289561/full/max/0/default.jpg
127399,10869795,digital image,https://media.rkd.nl/iiif/10869795/full/max/0/default.jpg
127422,9331761,black and white photograph,https://media.rkd.nl/iiif/9331761/full/max/0/default.jpg
136184,9289574,slide (photo),https://media.rkd.nl/iiif/9289574/full/max/0/default.jpg
144622,9273125,color photograph,https://media.rkd.nl/iiif/9273125/full/max/0/default.jpg
163528,10765486,photograph,https://media.rkd.nl/iiif/10765486/full/max/0/default.jpg
165909,10765911,black and white photograph,https://media.rkd.nl/iiif/10765911/full/max/0/default.jpg
168848,10766626,photograph,https://media.rkd.nl/iiif/10766626/full/max/0/default.jpg
170744,9289550,black and white photograph,https://media.rkd.nl/iiif/9289550/full/max/0/default.jpg
172590,10765407,original photograph,https://media.rkd.nl/iiif/10765407/full/max/0/default.jpg
174667,10765842,original photograph,https://media.rkd.nl/iiif/10765842/full/max/0/default.jpg
177041,10769066,original photograph,https://media.rkd.nl/iiif/10769066/full/max/0/default.jpg
178208,10763472,original photograph,https://media.rkd.nl/iiif/10763472/full/max/0/default.jpg
178209,10763473,original photograph,https://media.rkd.nl/iiif/10763473/full/max/0/default.jpg
178211,10763474,original photograph,https://media.rkd.nl/iiif/10763474/full/max/0/default.jpg
178212,10763475,original photograph,https://media.rkd.nl/iiif/10763475/full/max/0/default.jpg
178213,10763476,original photograph,https://media.rkd.nl/iiif/10763476/full/max/0/default.jpg
178215,10763477,original photograph,https://media.rkd.nl/iiif/10763477/full/max/0/default.jpg
178217,10763478,original photograph,https://media.rkd.nl/iiif/10763478/full/max/0/default.jpg
179183,10766489,original photograph,https://media.rkd.nl/iiif/10766489/full/max/0/default.jpg
179257,10766694,original photograph,https://media.rkd.nl/iiif/10766694/full/max/0/default.jpg
179350,10768575,original photograph,https://media.rkd.nl/iiif/10768575/full/max/0/default.jpg
179981,10766187,digital image,https://media.rkd.nl/iiif/10766187/full/max/0/default.jpg
180384,10765876,original photograph,https://media.rkd.nl/iiif/10765876/full/max/0/default.jpg
180389,10768643,original photograph,https://media.rkd.nl/iiif/10768643/full/max/0/default.jpg
180512,10766448,original photograph,https://media.rkd.nl/iiif/10766448/full/max/0/default.jpg
181098,10765807,original photograph,https://media.rkd.nl/iiif/10765807/full/max/0/default.jpg
181134,10765722,original photograph,https://media.rkd.nl/iiif/10765722/full/max/0/default.jpg
181378,9164382,BD/RKD/1842 - IB/Nassau,https://media.rkd.nl/iiif/9164382/full/max/0/default.jpg
182173,10765956,original photograph,https://media.rkd.nl/iiif/10765956/full/max/0/default.jpg
202395,10399625,digital file,https://media.rkd.nl/iiif/10399625/full/max/0/default.jpg
202397,10670775,digital image,https://media.rkd.nl/iiif/10670775/full/max/0/default.jpg
265774,10658967,digital color photograph,https://media.rkd.nl/iiif/10658967/full/max/0/default.jpg
265775,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265777,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265780,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265783,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265785,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265786,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265787,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
265788,10349143,digital black-and-white photograph,https://media.rkd.nl/iiif/10349143/full/max/0/default.jpg
265791,10783267,unknown,https://media.rkd.nl/iiif/10783267/full/max/0/default.jpg
282473,47,digital image,https://media.rkd.nl/iiif/47/full/max/0/default.jpg
302327,10714247,digital image,https://media.rkd.nl/iiif/10714247/full/max/0/default.jpg
303283,20,digital image,https://media.rkd.nl/iiif/20/full/max/0/default.jpg
303402,24,digital image,https://media.rkd.nl/iiif/24/full/max/0/default.jpg
303422,26,digital image,https://media.rkd.nl/iiif/26/full/max/0/default.jpg
303542,48,digital image,https://media.rkd.nl/iiif/48/full/max/0/default.jpg
303543,49,digital image,https://media.rkd.nl/iiif/49/full/max/0/default.jpg
303559,51,digital image,https://media.rkd.nl/iiif/51/full/max/0/default.jpg
303559,50,digital image,https://media.rkd.nl/iiif/50/full/max/0/default.jpg
303561,52,digital image,https://media.rkd.nl/iiif/52/full/max/0/default.jpg
