priref,lref,soort,url
3048,10400060,digital file,https://media.rkd.nl/iiif/10400060/full/max/0/default.jpg
5052,32,digital image,https://media.rkd.nl/iiif/32/full/max/0/default.jpg
5053,33,digital image,https://media.rkd.nl/iiif/33/full/max/0/default.jpg
5060,34,digital image,https://media.rkd.nl/iiif/34/full/max/0/default.jpg
5062,35,digital image,https://media.rkd.nl/iiif/35/full/max/0/default.jpg
7766,38,digital image,https://media.rkd.nl/iiif/38/full/max/0/default.jpg
10393,39,digital image,https://media.rkd.nl/iiif/39/full/max/0/default.jpg
10629,40,digital image,https://media.rkd.nl/iiif/40/full/max/0/default.jpg
11868,41,digital image,https://media.rkd.nl/iiif/41/full/max/0/default.jpg
12354,43,digital image,https://media.rkd.nl/iiif/43/full/max/0/default.jpg
12425,44,digital image,https://media.rkd.nl/iiif/44/full/max/0/default.jpg
15104,10712456,digital image,https://media.rkd.nl/iiif/10712456/full/max/0/default.jpg
15109,10712457,digital image,https://media.rkd.nl/iiif/10712457/full/max/0/default.jpg
16285,46,digital image,https://media.rkd.nl/iiif/46/full/max/0/default.jpg
29822,10405798,digital color photograph,https://media.rkd.nl/iiif/10405798/full/max/0/default.jpg
125524,9289561,slide (photo),https://media.rkd.nl/iiif/9289561/full/max/0/default.jpg
127399,10869795,digital image,https://media.rkd.nl/iiif/10869795/full/max/0/default.jpg
127422,9331761,black and white photograph,https://media.rkd.nl/iiif/9331761/full/max/0/default.jpg
144622,9273125,color photograph,https://media.rkd.nl/iiif/9273125/full/max/0/default.jpg
163528,10765486,photograph,https://media.rkd.nl/iiif/10765486/full/max/0/default.jpg
168848,10766626,photograph,https://media.rkd.nl/iiif/10766626/full/max/0/default.jpg
172590,10765407,original photograph,https://media.rkd.nl/iiif/10765407/full/max/0/default.jpg
174667,10765842,original photograph,https://media.rkd.nl/iiif/10765842/full/max/0/default.jpg
177041,10769066,original photograph,https://media.rkd.nl/iiif/10769066/full/max/0/default.jpg
178208,10763472,original photograph,https://media.rkd.nl/iiif/10763472/full/max/0/default.jpg
178209,10763473,original photograph,https://media.rkd.nl/iiif/10763473/full/max/0/default.jpg
178211,10763474,original photograph,https://media.rkd.nl/iiif/10763474/full/max/0/default.jpg
178212,10763475,original photograph,https://media.rkd.nl/iiif/10763475/full/max/0/default.jpg
178213,10763476,original photograph,https://media.rkd.nl/iiif/10763476/full/max/0/default.jpg
178215,10763477,original photograph,https://media.rkd.nl/iiif/10763477/full/max/0/default.jpg
178217,10763478,original photograph,https://media.rkd.nl/iiif/10763478/full/max/0/default.jpg
179094,10766010,original photograph,https://media.rkd.nl/iiif/10766010/full/max/0/default.jpg
179183,10766489,original photograph,https://media.rkd.nl/iiif/10766489/full/max/0/default.jpg
179257,10766694,original photograph,https://media.rkd.nl/iiif/10766694/full/max/0/default.jpg
179350,10768575,original photograph,https://media.rkd.nl/iiif/10768575/full/max/0/default.jpg
179800,10288310,digital image,https://media.rkd.nl/iiif/10288310/full/max/0/default.jpg
179981,10766187,digital image,https://media.rkd.nl/iiif/10766187/full/max/0/default.jpg
180066,10766620,original photograph,https://media.rkd.nl/iiif/10766620/full/max/0/default.jpg
180384,10765876,original photograph,https://media.rkd.nl/iiif/10765876/full/max/0/default.jpg
180389,10768643,original photograph,https://media.rkd.nl/iiif/10768643/full/max/0/default.jpg
180397,10765859,photograph,https://media.rkd.nl/iiif/10765859/full/max/0/default.jpg
180415,10732662,black and white photograph,https://media.rkd.nl/iiif/10732662/full/max/0/default.jpg
180512,10766448,original photograph,https://media.rkd.nl/iiif/10766448/full/max/0/default.jpg
181098,10765807,original photograph,https://media.rkd.nl/iiif/10765807/full/max/0/default.jpg
181134,10765722,original photograph,https://media.rkd.nl/iiif/10765722/full/max/0/default.jpg
181247,10768708,original photograph,https://media.rkd.nl/iiif/10768708/full/max/0/default.jpg
182173,10765956,original photograph,https://media.rkd.nl/iiif/10765956/full/max/0/default.jpg
187230,9169287,print,https://media.rkd.nl/iiif/9169287/full/max/0/default.jpg
187238,9180888,black-and-white reproduction,https://media.rkd.nl/iiif/9180888/full/max/0/default.jpg
229311,9308141,black and white photograph,https://media.rkd.nl/iiif/9308141/full/max/0/default.jpg
245992,10564516,digital image,https://media.rkd.nl/iiif/10564516/full/max/0/default.jpg
282473,47,digital image,https://media.rkd.nl/iiif/47/full/max/0/default.jpg
