recordnummer,oorspronkelijke_bestandsnaam
10,1000311034
11,0001515880
12,0001526272
20,1001692122
24,1001692210
26,1001692240
32,1001692522
33,1001692523
34,1001692524
35,1001692525
36,1001692526
37,1001692530
38,1001692531
39,1001692532
40,1001692533
41,1001692536
42,1001692537
43,1001692538
44,1001692539
45,1001692540
46,1001692541
47,1001692542
48,1001692588
49,1001692589
50,1001692594
51,1001692595
52,1001692597
9105742,0000122895
9119567,0000135867
9119568,0000135868
9136657,0000151710
9137357,0000152508
9137889,0000153046
9146162,0000161775
9147846,0000163555
9147847,0000163556
9148151,0000163860
9164382,0000178795
9164633,0000179046
9164702,0000179115
9174424,0000187172
9190106,0000210344
9195329,0000214221
9195331,0000214223
9195332,0000214224
9195334,0000214226
9195335,0000214227
9197131,0000216137
9197707,0000216719
9197708,0000216720
9199054,0000251835
9199064,0000251845
9200630,0000253429
9200631,0000253430
9200633,0000253432
9200634,0000253433
9200635,0000253434
9200637,0000253436
9200638,0000253437
9200641,0000253440
9200645,0000253444
9200646,0000253445
9200647,0000253446
9200656,0000253455
9200657,0000253456
9200658,0000253457
9201968,0000254893
9201969,0000254894
9204165,0000257117
9204169,0000257121
9204178,0000257130
9206925,0000259983
9215371,0000026035
9221426,0000271100
9221427,0000271101
9222076,0000271756
9222094,0000271774
9222095,0000271775
9222096,0000271776
9222225,0000271907
9222226,0000271908
9222227,0000271909
9222228,0000271910
9222247,0000271929
9222258,0000271940
9223396,0000273101
9223398,0000273103
9223401,0000273106
9230810,0000280733
9234797,0000287426
9234799,0000287428
9234800,0000287429
9234801,0000287430
9235568,0000288234
9235571,0000288237
9236224,0000288941
9236225,0000288942
9240698,0000291455
9241131,0000291894
9241188,0000291953
9241189,0000291954
9242744,0000293523
9242745,0000293524
9242746,0000293525
9242747,0000293526
9242752,0000293531
9242756,0000293535
9242757,0000293536
9242758,0000293537
9242759,0000293538
9242760,0000293539
9242761,0000293540
9242762,0000293541
9242763,0000293542
9242765,0000293544
9242776,0000293555
9242777,0000293556
9242780,0000293559
9242781,0000293560
9242782,0000293561
9242783,0000293562
9242784,0000293563
9242785,0000293564
9242786,0000293565
9242787,0000293566
9242788,0000293567
9242789,0000293568
9242790,0000293569
9242791,0000293570
9242794,0000293573
9242795,0000293574
9242796,0000293575
9242797,0000293576
9242816,0000293595
9242817,0000293596
9242818,0000293597
9242819,0000293598
9243249,0000294028
9243250,0000294029
9270052,0000318831
9270542,0000319321
9273125,0000321957
9274312,0000323152
9274313,0000323153
9274352,0000323194
9275412,0000324858
9289384,0000336862
9289550,0000337034
9289558,0000337042
9289561,0000337045
9289574,0000337058
9291145,0000338677
9291146,0000338678
9291147,0000338679
9291150,0000338682
9292360,0000339900
9295253,0000342878
9295254,0000342879
9295255,0000342880
9295256,0000342881
9295257,0000342882
9303652,0000353370
9303657,0000353375
9303692,0000353410
9305360,0000036035
9307934,0000355706
9321395,0000370121
9321397,0000370123
9321404,0000370130
9321430,0000370156
9321431,0000370157
9321435,0000370161
9321436,0000370162
9321876,0000370602
9323308,0000372038
9323376,0000372106
9331761,0000379329
9333591,0000381262
9333908,0000381581
9333996,0000381676
9334423,0000382113
9334801,0000382500
9335386,0000383090
9335739,0000383843
9570324,0000063085
9635909,0000069043
9880880,0000094235
9880881,0000094236
