priref,artist_name,date,objectcat,lrefs_in_xml,reason
15397,"Boonen, Arnold",1710,painting,9305360,no image downloaded
16016,"Netscher, Caspar",1670,painting,10783267,only excluded placeholder lrefs available: 10783267
34388,"Backer, Jacob Adriaensz.",1623,painting,10783267,only excluded placeholder lrefs available: 10783267
36482,Anoniem,1550,painting,10783267,only excluded placeholder lrefs available: 10783267
36855,"Goes, Hugo van der",1473,triptych,10783267,only excluded placeholder lrefs available: 10783267
36861,Meester van de Legende van de Heilige Lucia,1475,painting,10783267,only excluded placeholder lrefs available: 10783267
36862,Meester van de Legende van de Heilige Lucia,1475,painting,10783267,only excluded placeholder lrefs available: 10783267
41248,"Heere, Lucas de",1550,painting,10783267,only excluded placeholder lrefs available: 10783267
41304,"Weyden, Goossen van der",1506,triptych,10783267,only excluded placeholder lrefs available: 10783267
41812,"Neufchâtel, Nicolas de",1544,painting,10783267,only excluded placeholder lrefs available: 10783267
41942,"Neufchâtel, Nicolas de",1550,painting,10783267,only excluded placeholder lrefs available: 10783267
42039,"Neufchâtel, Nicolas de",1550,painting,10783267,only excluded placeholder lrefs available: 10783267
42040,"Schouman, Aert",1641-03-20,painting,10783267,only excluded placeholder lrefs available: 10783267
42041,"Neufchâtel, Nicolas de",1562,painting,10783267,only excluded placeholder lrefs available: 10783267
42044,"Neufchâtel, Nicolas de",1566,painting,10783267,only excluded placeholder lrefs available: 10783267
42048,"Neufchâtel, Nicolas de",1565,painting,10783267,only excluded placeholder lrefs available: 10783267
42050,"Neufchâtel, Nicolas de",1562,painting,10783267,only excluded placeholder lrefs available: 10783267
42777,"Cleve, Joos van",1518,painting,10783267,only excluded placeholder lrefs available: 10783267
45875,"Thier, Barend Hendrik",1758,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
48208,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
53865,"Mor, Antonis",1560,painting,10783267,only excluded placeholder lrefs available: 10783267
53978,"Key, Adriaen Thomasz.",1589,painting,10783267,only excluded placeholder lrefs available: 10783267
53980,"Ketel, Cornelis",1575,painting,10783267,only excluded placeholder lrefs available: 10783267
53984,"Key, Adriaen Thomasz.",1575,painting,10783267,only excluded placeholder lrefs available: 10783267
54006,"Key, Adriaen Thomasz.",1550,painting,10783267,only excluded placeholder lrefs available: 10783267
54862,"Jordaens, Jacques",1608,painting,10783267,only excluded placeholder lrefs available: 10783267
60082,Anoniem,1834,painting,10771001,no image downloaded
