priref,lref,width,height,megapixels,soort,artist_name,date,objectcat
47030,9814422,161,200,0.032,printouts,"Dommisse, Marianne",1958,photograph
47031,9814423,157,200,0.031,printouts,"Dommisse, Marianne",1958,photograph
47032,9814424,200,162,0.032,printouts,"Dommisse, Marianne",1958,photograph
47033,9814425,154,200,0.031,printouts,"Dommisse, Marianne",1959,photograph
47034,9814426,153,200,0.031,black-and-white reproduction,"Dommisse, Marianne",1957,photograph
55595,10013655,215,500,0.107,digital color photograph,Anoniem,1850,painting
56708,9879124,500,178,0.089,color photograph,Anoniem,1954,overdoor
57606,10080124,189,501,0.095,black and white photograph,"Pourbus, Frans (I)",1571,painting
60453,9112328,169,501,0.085,black and white photograph,Anoniem,1559,painting
67389,9814565,201,166,0.033,printouts,"Boersma, Pieter (fotograaf)",1974,photograph
67569,9120170,177,500,0.088,black and white photograph,"David, Gerard",1510,painting
67571,9120169,176,500,0.088,black and white photograph,"David, Gerard",1510,painting
68026,9814646,146,200,0.029,printouts,"Dommisse, Marianne",1965,photograph
68054,9814648,145,200,0.029,printouts,"Dommisse, Marianne",1950,photograph
68055,9814649,146,200,0.029,printouts,"Dommisse, Marianne",1950,photograph
68060,9814650,146,200,0.029,printouts,"Dommisse, Marianne",1956,photograph
68061,9814651,146,200,0.029,printouts,"Dommisse, Marianne",1956,photograph
68281,9814652,146,200,0.029,printouts,"Dommisse, Marianne",1957,photograph
68283,9814653,163,200,0.033,printouts,"Dommisse, Marianne",1928,photograph
69491,9124427,194,500,0.097,black and white photograph,"Rijcke, Abraham de",1586,painting
69492,9124426,197,500,0.099,black and white photograph,"Rijcke, Abraham de",1586,painting
101055,9835412,500,218,0.109,slide (photo),"Sluijters, Jan",1908,drawing (visual work)
108066,9137315,500,199,0.1,black and white photograph,"Sluijters, Jan",1934,painting
108951,9147946,222,501,0.111,back-side (of image),"Koster, Pieter Paul (1893-1987)",1924,drawing (visual work)
118678,9125789,500,200,0.1,black and white photograph,"Mancini, Antonio",1880,painting
119543,9168929,215,500,0.107,BD/Digital Collection,"Bosch, Jheronimus",1496,painting
119546,9168930,213,500,0.106,BD/Digital Collection,"Bosch, Jheronimus",1496,painting
124541,10390140,219,500,0.11,unknown,"Spier, Jo",1925,drawing (visual work)
124684,10721913,500,210,0.105,photograph,"Hengst, Hendrik Wolter van",1824,watercolor (painting)
127438,10727013,194,500,0.097,photograph,Anoniem,1518,painting
129106,10730765,189,500,0.095,photograph,"Andriessen, Mari",1966,sculpture
129236,10731034,128,500,0.064,BD/RKD/1816 - IB/XVIIA,"Sweelink, Gerrit Pietersz.",1600,painting
129826,10732348,501,215,0.108,photograph,"Backer, Adriaen",1676,painting
130218,10733109,207,500,0.103,BD/RKD/1808 - IB/XIXD,"Schwartze, Thérèse",1875,painting
131818,10735115,203,500,0.102,photograph,"Key, Willem",1550,painting
131991,10388802,500,222,0.111,unknown,"Hingman, Jan",1875,drawing (visual work)
132550,10388925,500,164,0.082,unknown,Anoniem,1625,painting
132712,9333053,176,501,0.088,black and white photograph,"Benson, Ambrosius",1525,painting
133280,10634275,176,500,0.088,digital image,"Cornelisz, Jacob",1517,triptych
133281,10634280,176,500,0.088,digital image,"Cornelisz, Jacob",1517,triptych
133376,9335558,180,501,0.09,black and white photograph,"Sweelink, Gerrit Pietersz.",1601,painting
134848,10389720,145,294,0.043,unknown,"Greenaart, J.",1794,drawing (visual work)
