priref,lref,sitter_id,sitter_zekerheid,sitter_beschrijving,sitter_status,date_datering,zoekmarge_begindatum,zoekmarge_einddatum,title_english,title_dutch,objectcat,genre,materiaal,drager,trefwoorden_en,identificatie_grond,artist_name,artist_id,soort,is_color,width,height,megapixels,path,face_crop_count,sitter_portrait_count
86,9216487,120270,,,huidig,na 1637,1637,1699,Portrait of  Maria van Kinschot (1589-1648),Portret van Maria van Kinschot (1589-1648),painting,portrait,oil paint,canvas,woman's portrait|half-length|head to the left|body facing left|facing front|chignon with drooping hair|damasked costume|composite collar|clothing bow|pearl necklace|brooch|necklace|family arms,,Anoniem,1984,black and white photograph,False,500,438,0.219,D:\thesis\images\9216487.jpg,1,3
305,11184323,141824,,,huidig,tweede helft jaren 1640,1645,1650,Self portrait,Zelfportret,painting,portrait,oil paint,panel (wood),man's portrait|self-portrait|bust-length portrait|head to the right|body facing right|facing front|medium-length hair (men's hairstyle),gelijkenis; kunstenaar,"Fabritius, Carel",27138,digital image,True,3694,4989,18.429,D:\thesis\images\11184323.jpg,1,4
697,10719715,203193,,,huidig,1639 gedateerd,1639,1639,Portrait of Maritge Claesdr. Vooght  (1577-1644),Portret van Maritge Claesdr. Vooght  (1577-1644),painting,portrait,oil paint,canvas,woman's portrait|old woman|knee-length portrait|head to the left|body facing left|sitting|facing front|wing cap|ruff|cuff (costume component)|fur collar|book in the hand|coats of arms and coat of arms elements,coat of arms,"Hals, Frans (I)",35550,digital image,True,4642,6262,29.068,D:\thesis\images\10719715.jpg,1,3
1303,9636575,116876,,,huidig,1617 gedateerd,1617,1617,Portrait of Bartholomeus van Assendelft (1585-1658),Portret van Bartholomeus van Assendelft (1585-1658),painting,portrait,oil paint,panel (wood),man's portrait|half-length|head to the left|body facing left|facing front|beard|moustache|in a window|finger ring,vererving,"Valckert, Werner van den",78989,black and white photograph,False,500,438,0.219,D:\thesis\images\9636575.jpg,1,2
1419,9282462,8419,mogelijk,,huidig,ca. 1645-1650,1645,1650,Painter with pipe and book in a window,Schilder met pijp en boek in een venster,painting,genre picture,oil paint,panel (wood),man's portrait|self-portrait|genre picture|half-length|head to the left|body facing left|facing front|long hair (men's hairstyle)|beret|pipe smoking|pipe|opened book|in a window|drapery (representation),,"Dou, Gerard",23986,black and white photograph,False,500,438,0.219,D:\thesis\images\9282462.jpg,1,17
1843,9261956,102006,,,huidig,1646 gedateerd,1646,1646,Self portrait with baret,Zelfportret met baret,painting,portrait,oil paint,canvas,self-portrait|painter|bust-length portrait|head to the right|body facing right|beret|long hair (men's hairstyle)|moustache|soul patch,herkomst,"Bol, Ferdinand",10080,color reproduction,True,500,438,0.219,D:\thesis\images\9261956.jpg,1,7
1852,10727211,116754,mogelijk,,huidig,1667 gedateerd,1667,1667,"Portrait of a man, possibly Aert van Nes (1626-1693)","Portret van een man, mogelijk Aert van Nes (1626-1693)",painting,history (visual work),oil paint,canvas,man's portrait|officer|three-quarter length figure|body facing right|head to the left|standing (position)|looking away|long hair (men's hairstyle)|uniform|cravat|hand on side|rapier|bandolier (shoulder belt)|column (architectural element)|sky|cloud,,"Bol, Ferdinand",10080,black and white photograph,False,417,500,0.208,D:\thesis\images\10727211.jpg,1,4
1853,10671425,103572,,,huidig,1667 gedateerd,1667,1667,Portrait of Michiel Adriaensz. de Ruyter (1607-1676),Portret van Michiel Adriaensz. de Ruyter (1607-1676),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the right|body facing right|facing front|standing (position)|medium-length hair (men's hairstyle)|moustache|soul patch|jabot|gorget (armor)|knightly insignia|hand on side|baton (symbol or weapon)|globe|compass (drawing instrument)|national map|balustrade|pulled-aside curtain/drapery|background view of sea|navy,,"Bol, Ferdinand",10080,digital image,True,4756,5652,26.881,D:\thesis\images\10671425.jpg,1,30
1854,9217055,103572,,,huidig,1667 gedateerd,1667,1667,Portrait of Michiel Adriaensz. de Ruyter (1607-1676),Portret van Michiel Adriaensz. de Ruyter (1607-1676),painting,portrait,oil paint,canvas,man's portrait|knee-length portrait|head to the right|body facing right|facing front|standing (position)|long hair (men's hairstyle)|moustache|soul patch|jabot|gorget (armor)|knightly insignia|hand on side|baton (symbol or weapon)|globe|table|national map|compass (drawing instrument)|balustrade|pulled-aside curtain/drapery|background view of sea|navy,,"Bol, Ferdinand",10080,color reproduction,True,500,438,0.219,D:\thesis\images\9217055.jpg,1,30
1855,10633597,146445,,,huidig,1696 gedateerd,1669,1669,Portrait of Engel de Ruyter (1649-1683),Portret van Engel de Ruyter (1649-1683),painting,portrait,oil paint,canvas,man's portrait|officer|knee-length portrait|head to the left|body facing left|standing (position)|facing front|hand on side|long hair (men's hairstyle)|moustache|scarf|knightly insignia|bandolier (shoulder belt)|baton (symbol or weapon)|rapier|globe|balustrade|pulled-aside curtain/drapery|background view of sea|navy,,"Bol, Ferdinand",10080,BD/Digital Collection,False,422,500,0.211,D:\thesis\images\10633597.jpg,1,2
1857,10730049,138767,,,huidig,ca. 1670,1665,1673,Portrait of Maerten van Juchen (?-1673),Portret van Maerten van Juchen (?-1673),painting,portrait,oil paint,canvas,man's portrait|bust-length portrait|head to the right|body facing right|facing front|medium-length hair (men's hairstyle)|moustache|flat collar|armor,,"Bol, Ferdinand",10080,photograph,False,414,500,0.207,D:\thesis\images\10730049.jpg,1,2
1859,9202872,103572,,,huidig,ca. 1667-1668,1667,1668,Portrait of Michiel Adriaensz. de Ruyter (1607-1676),Portret van Michiel Adriaensz. de Ruyter (1607-1676),painting,portrait,oil paint,canvas,man's portrait|three-quarter length figure|head to the right|body facing right|standing (position)|facing front|gorget (armor)|cravat|moustache|soul patch|long hair (men's hairstyle)|baton (symbol or weapon)|knightly insignia|necklace|officer|drapery (representation)|background view of sea|sailing ship|navy,,"Bol, Ferdinand",10080,black and white photograph,False,420,500,0.21,D:\thesis\images\9202872.jpg,1,30
1882,9747796,119233,,,huidig,ca. 1642,1640,1645,Portrait of Elisabeth Bas (1571-1649),Portret van Elisabeth Bas (1571-1649),painting,portrait,oil paint,canvas,woman's portrait|old woman|knee-length portrait|head to the left|body facing left|sitting|facing front|wing cap|ruff|vlieger (clothing)|handkerchief,,"Bol, Ferdinand",10080,black and white photograph,False,500,438,0.219,D:\thesis\images\9747796.jpg,1,2
1954,9103030,103572,,,huidig,,1667,1699,"Portret van Michiel Adriaensz. de Ruyter (1607-1676), with a servant","Portret van Michiel Adriaensz. de Ruyter (1607-1676), met een bediende",painting,portrait,oil paint,canvas,man's portrait|three-quarter length figure|head to the left|body facing left|looking away|long hair (men's hairstyle)|moustache|soul patch|armor|knightly insignia|baton (symbol or weapon)|helmet|sea in the background,,"Bol, Ferdinand",10080,old black-and-white photograph,False,388,500,0.194,D:\thesis\images\9103030.jpg,1,30
1994,9275386,115193,,,huidig,1638 gedateerd,1638,1638,Portrait of Johannes Wttenbogaert (1557-1644),Portret van Johannes Wttenbogaert (1557-1644),painting,portrait,oil paint,canvas,man's portrait|rector (pastor)|knee-length portrait|head to the left|body facing left|sitting|facing front|ruff 'à la confusion'|surcoat|writing instrument|writing (process)|lorgnette,opschrift,"Backer, Jacob Adriaensz.",3396,black and white photograph,False,407,500,0.203,D:\thesis\images\9275386.jpg,1,17
2001,9770456,17727,,,huidig,ca. 1645,1643,1647,Portrait of Johannes Lutma (1584/5-1669),Portret van Johannes Lutma (1584/5-1669),painting,portrait,oil paint,panel (wood),man's portrait|artists' portrait|half-length|head to the right|body facing right|facing front|ruff|silversmith|goldsmith|salt (condiment vessel),herkomst,"Backer, Jacob Adriaensz.",3396,black and white photograph,False,500,438,0.219,D:\thesis\images\9770456.jpg,1,3
2737,10737340,111021,waarschijnlijk,,huidig,1653 gedateerd,1653,1653,"Portrait of a man, probably Jan van de Cappelle (1626-1679)","Portret van een man, waarschijnlijk Jan van de Cappelle (1626-1679)",painting,portrait,oil paint,canvas,man's portrait|artists' portrait|young man|half-length|head to the left|body facing right|facing front|hand in front of chest|dark hair|short hair (men's hairstyle)|moustache|flat collar with tassels|landscape as background|sky|cloud,,"Eeckhout, Gerbrand van den",25549,color reproduction,True,382,500,0.191,D:\thesis\images\10737340.jpg,1,2
2804,9216830,105630,,,huidig,1654 gedateerd,1654,1654,Portrait of Gerard Pietersz Hulft (1621-1656),Portret van Gerard Pietersz Hulft (1621-1656),painting,portrait,oil paint,canvas,man's portrait|merchant|bust-length portrait|head to the right|body facing right|facing front|compass (drawing instrument)|compass (direction indicators)|sextant|anchor|book|document (object genre)|globe|card game (activity)|sword|dove / pigeon|writing instrument|angel|in an oval,,"Flinck, Govert",28322,black and white photograph,False,500,438,0.219,D:\thesis\images\9216830.jpg,1,3
2807,10723778,111244,,,huidig,in of na 1663,1663,1674,Portrait of Joost van den Vondel (1587-1679),Portret van Joost van den Vondel (1587-1679),painting,portrait,oil paint,panel (oak),man's portrait|poet|bust-length portrait|head to the right|body facing right|facing front|moustache|soul patch|skullcap|flat collar,,"Lievens, Jan",50003,black and white photograph,False,454,500,0.227,D:\thesis\images\10723778.jpg,1,16
2819,10686745,113947,,,huidig,1637/38,1635,1640,Portrait of Saskia van Uylenburgh (1612-1642),"Portret van Saskia van Uylenburgh (1612-1642), de eerste vrouw van Rembrandt",painting,portrait,oil paint,panel (wood),woman's portrait|bust-length portrait|head to the right|body facing right|facing front|dark hair|hair put up|aigrette|voile (veil)|pear-shaped pearl|pearl necklace|low neckline|vest / shirt|cape|dress (garment),,"Flinck, Govert",28322,digital image,True,1187,1600,1.899,D:\thesis\images\10686745.jpg,1,11
2890,9113093,17699,waarschijnlijk,,huidig,1660 gedateerd,1660,1660,"Portrait of a man, probably a self portrait","Portret van een man, waarschijnlijk een zelfportret",painting,portrait,oil paint,canvas,man's portrait|self-portrait|herdsperson|half-length|head to the left|body facing left|looking away|hat|split sleeve|recorder|finger ring|sky|cloud,,"Fabritius, Barent",27137,black and white photograph,False,435,500,0.217,D:\thesis\images\9113093.jpg,1,3
2935,10418156,114289,genaamd,,huidig,1631 gedateerd,1631,1631,An old woman reading probably the profetess Hanna,"Een lezende oude vrouw, waarschijnlijk de profetes Hannah",painting,portrait,oil paint,panel (oak),history (visual work)|Old Testament and Apocrypha|historiated portrait|old woman|saint|reading|opened book,,Rembrandt,66219,digital file,True,6285,7861,49.406,D:\thesis\images\10418156.jpg,1,2
2943,9570348,113516,,,huidig,ca. 1628,1628,1629,Self portrait,Zelfportret,painting,portrait,oil paint,panel (oak),man's portrait|young man|self-portrait|bust-length portrait|head to the right|body facing right|facing front|curly hair,resemblance,Rembrandt,66219,color reproduction,True,500,438,0.219,D:\thesis\images\9570348.jpg,1,95
2944,10418086,113516,,,huidig,ca. 1629,1628,1630,Self portrait with gorget,'Zelfportret' met halsberg,painting,portrait,oil paint,panel (oak),man's portrait|self-portrait|young man|bust-length portrait|head to the right|body facing right|facing front|gorget (armor)|Lovelock,resemblance,Rembrandt,66219,digital file,True,5211,6804,35.456,D:\thesis\images\10418086.jpg,1,95
